t, x, y, z, x', y', z', x'', y'', z''
6660.0, -15410338.237024726, 34170078.37946768, -11354340.66475835, -3321.1792284359626, 2960.6069539926834, -2447.0455994131794, 0.10223117345843794, -0.2266823516806968, 0.07532395150265149
6680.0, -15476741.383792767, 34229245.23965067, -11403266.518170476, -3319.137400127109, 2956.085323035475, -2445.541179857864, 0.10195191911887104, -0.2254829764184989, 0.07511819684270907
6700.0, -15543103.749824423, 34288321.90655745, -11452162.32432686, -3317.101149556429, 2951.587581928008, -2444.0408699813015, 0.10167340031813811, -0.2242933441488236, 0.074912984127944
6720.0, -15609425.446526857, 34347308.85604209, -11501028.16531245, -3315.0704619512844, 2947.1135368673517, -2442.544658898983, 0.10139562319588684, -0.22311334947023967, 0.07470831788205091
6740.0, -15675706.585010577, 34406206.56010419, -11549864.122993346, -3313.045322418851, 2942.662996144446, -2441.0525356378807, 0.1011185936318258, -0.22194288839137086, 0.07450420243719943
6760.0, -15741947.27608705, 34465015.48692985, -11598670.279015593, -3311.0257159512576, 2938.235770116133, -2439.5644891401957, 0.10084231725269104, -0.2207818583086289, 0.07430064193917078
6780.0, -15808147.630266497, 34523736.10093246, -11647446.714803057, -3309.0116274305647, 2933.8316711776415, -2438.080508267019, 0.10056679943902964, -0.21963015798434715, 0.07409764035235271
6800.0, -15874307.757755756, 34582368.86279373, -11696193.511556106, -3307.0030416336363, 2929.4505137354554, -2436.6005818019353, 0.10029204533180038, -0.2184876875253, 0.07389520146460442
6820.0, -15940427.768456118, 34640914.22950295, -11744910.750250164, -3304.9999432368472, 2925.0921141806607, -2435.124698454519, 0.10001805983881062, -0.21735434836161935, 0.07369332889200031
6840.0, -16006507.77196154, 34699372.6543975, -11793598.51163403, -3303.0023168207244, 2920.7562908626537, -2433.6528468636793, 0.09974484764097549, -0.21623004322607414, 0.07349202608343931
6860.0, -16072547.877556479, 34757744.58720084, -11842256.876228563, -3301.0101468743674, 2916.442864063305, -2432.185015600981, 0.09947241319842587, -0.21511467613373939, 0.07329129632514722
6880.0, -16138548.194214506, 34816030.47406107, -11890885.924325377, -3299.0234177998414, 2912.151655971553, -2430.7211931738584, 0.09920076075645286, -0.21400815236201431, 0.07309114274505453
6900.0, -16204508.830596283, 34874230.7575894, -11939485.735985748, -3297.042113916413, 2907.8824906583013, -2429.261368028756, 0.09892989435129301, -0.2129103784309977, 0.0728915683170618
6920.0, -16270429.895048067, 34932345.87689622, -11988056.391039258, -3295.0662194646693, 2903.635194051794, -2427.8055285541245, 0.09865981781577872, -0.21182126208422647, 0.07269257586520093
6940.0, -16336311.495600231, 34990376.267629646, -12036597.969082702, -3293.0957186105156, 2899.409593913308, -2426.353663083421, 0.09839053478482204, -0.21074071226973146, 0.07249416806767596
6960.0, -16402153.739965688, 35048322.36201097, -12085110.549478985, -3291.130595449108, 2895.2055198132657, -2424.9057598979275, 0.09812204870077378, -0.20966863912145076, 0.07229634746081173
6980.0, -16467956.735538619, 35106184.58887077, -12133594.211356124, -3289.1708340086293, 2891.0228031077036, -2423.461807229623, 0.09785436281863769, -0.20860495394096196, 0.0720991164428955
7000.0, -16533720.589393098, 35163963.37368414, -12182049.033606369, -3287.2164182539996, 2886.8612769151, -2422.021793263851, 0.09758748021115193, -0.20754956917953887, 0.07190247727792175
7020.0, -16599445.408281924, 35221659.13860611, -12230475.094885122, -3285.267332090473, 2882.7207760935294, -2420.5857061419924, 0.09732140377373663, -0.2065023984205206, 0.07170643209923613
7040.0, -16665131.298635382, 35279272.30250639, -12278872.473610334, -3283.3235593671207, 2878.6011372182384, -2419.153533964038, 0.0970561362293148, -0.20546335636199128, 0.07151098291308954
7060.0, -16730778.366560306, 35336803.28100312, -12327241.247961534, -3281.3850838802214, 2874.5021985595117, -2417.7252647911064, 0.09679168013301354, -0.20443235879976673, 0.07131613160210006
7080.0, -16796386.71783885, 35394252.48649614, -12375581.495878965, -3279.4518893766412, 2870.423800060836, -2416.300886647851, 0.0965280378767441, -0.2034093226106813, 0.07112187992862809
7100.0, -16861956.45792761, 35451620.32820145, -12423893.295063194, -3277.5239595569774, 2866.3657833175157, -2414.880387524889, 0.09626521169365462, -0.2023941657361513, 0.07092822953805833
7120.0, -16927487.691956896, 35508907.21218265, -12472176.722974183, -3275.601278078698, 2862.3279915554995, -2413.4637553810385, 0.09600320366248555, -0.20138680716604543, 0.07073518196200684
7140.0, -16992980.524729706, 35566113.54138432, -12520431.85683079, -3273.683828559236, 2858.310269610579, -2412.050978145605, 0.09574201571179769, -0.20038716692281808, 0.07054273862143752
7160.0, -17058435.060721118, 35623239.71566387, -12568658.77361018, -3271.771594578888, 2854.312463907907, -2410.6420437205657, 0.09548164962410055, -0.19939516604592636, 0.07035090082970327
7180.0, -17123851.404077176, 35680286.13182253, -12616857.550047373, -3269.864559683759, 2850.334422441792, -2409.2369399826684, 0.0952221070398753, -0.19841072657652023, 0.07015966979551203
7200.0, -17189229.658614714, 35737253.183637366, -12665028.262634512, -3267.9627073885226, 2846.3759947558037, -2407.8356547855497, 0.0949633894614901, -0.19743377154238564, 0.06996904662580834
7220.0, -17254569.927820567, 35794141.26189115, -12713170.987620782, -3266.066021179153, 2842.4370319232435, -2406.4381759616676, 0.09470549825702275, -0.19646422494315857, 0.06977903232859256
7240.0, -17319872.314850993, 35850950.754403606, -12761285.801011728, -3264.174484515571, 2838.517386527797, -2405.04449132428, 0.09444843466397725, -0.19550201173578516, 0.06958962781565782
7260.0, -17385136.922531337, 35907682.04606121, -12809372.778569052, -3262.2880808342447, 2834.616912644559, -2403.654588669343, 0.09419219979291138, -0.19454705782023388, 0.06940083390526322
7280.0, -17450363.853355225, 35964335.51884658, -12857431.995810121, -3260.406793550638, 2830.735465821319, -2402.2684557774032, 0.09393679463097138, -0.1935992900254578, 0.06921265132473853
7300.0, -17515553.209484603, 36020911.55186749, -12905463.528007813, -3258.530606061694, 2826.8729030600725, -2400.886080415312, 0.09368222004533841, -0.19265863609559078, 0.06902508071302263
7320.0, -17580705.092749115, 36077410.52138671, -12953467.45019027, -3256.6595017481995, 2823.0290827989343, -2399.507450338026, 0.09342847678657869, -0.1917250246763758, 0.0688381226231331
7340.0, -17645819.604645748, 36133832.800849706, -13001443.837140655, -3254.7934639770624, 2819.2038648941684, -2398.132553290272, 0.09317556549191969, -0.19079838530183532, 0.06865177752458015
7360.0, -17710896.84633888, 36190178.76091323, -13049392.763396665, -3252.9324761035105, 2815.3971106025583, -2396.7613770081985, 0.09292348668843692, -0.18987864838115756, 0.06846604580571185
7380.0, -17775936.91866004, 36246448.76947263, -13097314.30325102, -3251.0765214733738, 2811.6086825641196, -2395.3939092210026, 0.09267224079616307, -0.1889657451858109, 0.0682809277760085
7400.0, -17840939.92210728, 36302643.19169049, -13145208.530750766, -3249.2255834250827, 2807.838444784864, -2394.0301376524326, 0.09242182813110976, -0.18805960783687198, 0.06809642366830787
7420.0, -17905905.956845433, 36358762.39002254, -13193075.519697415, -3247.379645291768, 2804.0862626199973, -2392.6700500223437, 0.09217224890822669, -0.187160169292574, 0.06791253364098518
7440.0, -17970835.122706052, 36414806.724245, -13240915.343646817, -3245.5386904032866, 2800.3520027573004, -2391.313634048161, 0.09192350324427594, -0.1862673633360589, 0.0677292577800704
7460.0, -18035727.51918732, 36470776.55148093, -13288728.075909272, -3243.7027020880737, 2796.6355332007324, -2389.960877446275, 0.09167559116063613, -0.185381124563337, 0.06754659610131541
7480.0, -18100583.245453823, 36526672.22622701, -13336513.789549321, -3241.8716636750723, 2792.936723254265, -2388.6117679334484, 0.0914285125860321, -0.18450138837144744, 0.06736454855220489
7500.0, -18165402.40033687, 36582494.10037833, -13384272.557385795, -3240.0455584955803, 2789.2554435060883, -2387.2662932281746, 0.09118226735920525, -0.18362809094682297, 0.06718311501392303
7520.0, -18230185.082334287, 36638242.523254886, -13432004.45199203, -3238.2243698849848, 2785.591565812787, -2385.92444105196, 0.09093685523150391, -0.18276116925383926, 0.06700229530326374
7540.0, -18294931.38961094, 36693917.84162603, -13479709.545695752, -3236.408081184485, 2781.944963283988, -2384.586199130609, 0.09069227586941987, -0.1819005610235635, 0.06682208917449728
7560.0, -18359641.41999825, 36749520.39973591, -13527387.910579387, -3234.5966757428137, 2778.3155102671603, -2383.251555195453, 0.09044852885705074, -0.181046204742686, 0.0666424963211877
7580.0, -18424315.270994958, 36805050.5393277, -13575039.618479898, -3232.790136917806, 2774.7030823325103, -2381.920496984547, 0.09020561369850821, -0.18019803964263612, 0.06646351637796381
7600.0, -18488953.039766934, 36860508.599668294, -13622664.740989238, -3230.9884480779774, 2771.107556258289, -2380.5930122438094, 0.08996352982025937, -0.1793560056888781, 0.06628514892224693
7620.0, -18553554.82314762, 36915894.91757219, -13670263.349454138, -3229.191592604112, 2767.5288100161906, -2379.269088728198, 0.08972227657341282, -0.1785200435703851, 0.06610739347593293
7640.0, -18618120.717638254, 36971209.827424556, -13717835.51497679, -3227.3995538906793, 2763.9667227569335, -2377.9487142027488, 0.08948185323594862, -0.17769009468928834, 0.06593024950703764
7660.0, -18682650.81940806, 37026453.66120607, -13765381.308414645, -3225.612315347297, 2760.4211747961904, -2376.631876443672, 0.08924225901488271, -0.17686610115068904, 0.06575371643128997
7680.0, -18747145.224294424, 37081626.74851466, -13812900.800380798, -3223.8298604001716, 2756.892047600559, -2375.3185632393665, 0.08900349304838982, -0.17604800575265087, 0.06557779361369728
7700.0, -18811604.027803674, 37136729.416589186, -13860394.061244326, -3222.0521724933737, 2753.3792237738194, -2374.0087623914583, 0.08876555440786327, -0.1752357519763422, 0.06540248037006195
7720.0, -18876027.325111102, 37191761.99033188, -13907861.161130436, -3220.2792350902305, 2749.8825870434175, -2372.7024617156835, 0.08852844209992626, -0.17442928397634921, 0.06522777596846385
7740.0, -18940415.21106154, 37246724.79233073, -13955302.169920761, -3218.511031674525, 2746.402022246979, -2371.399649042947, 0.08829215506839229, -0.17362854657114327, 0.06505367963070426
